(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
,It has been nothing but trouble from the time we bought it.
(price#positive),"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5."
(photo booth#positive),I am ADDICTED to photo booth!
(operating system#positive)(user interface#positive)(multi-touch track pad#positive),"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing."
,"So, I went back."
,"I like it so much, I bought another just for my wife."
,I took it back to the store and exchanged it for another one.
,All in all great item highly recommend it.
(Hard disk#neutral)(hard disk space#positive)(internal hard disk#neutral),Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.
,This laptop rocks (only wish it could run SolidWorks CAD - which Apple doesn't support)!
(connects to WIFI#positive),It is extremely portable and easily connects to WIFI at the library and elsewhere.
,"I don't have that additional money right now, and therefore wouldn't have purchased it at this time."
(applications#positive)(windows#negative),"First things first, Macbook pro has many applications to make life easier, unlike the windows computers."
(screen#positive)(gaming#positive),And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.
,"Fast, fast and fast, the web pages just fly by."
(space#positive),"  I considered I may have too much on the computer, but after looking, there was plenty of space and that is not the issue."
(battery life#conflict),I don't use my laptop in a way though that needs a long battery life so it's perfect for me.
,Guess I'll stay away from HP.
,"It is made better, thicker, and all out tough!"
,"It was about six months later when the overheating problem started again, to the point it felt like fire on the bottom of the machine!"
,There is a blank lighted screen when I start and that is all.
,And i would recommend this to anypne looking for a new laptop.
,"But then, something goes wrong."
,So far so good with this laptop.
(charge#negative),  i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.
,Avoid this model.
(power adapter#negative),"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working."
(price#negative),"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price."
,The local computer repair shops send out ads that say along the lines of we can fix almost any problem or computer  usually even the trouble some Toshiba satellite.
,it has had some problems.
,"Theres always something wrong with it, wether it be some virus you can't track down, or it overheats, sometimes even catches on fire, you just can't use it."
,This computer is good for 10 days then it sucks for the rest of your life.
(weight#neutral),"Of course, for a student, weight is always an issue."
(mainboard#negative),"Now mainboard is broken, have to wait for a new one."
(speed#negative)(hard drive#neutral)(500gb external hard drive#neutral),"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive."
(wireless card#negative),2.The wireless card is low quality.
,This little netboook is helping me get work done!
(operating systems#neutral),They also use two totally different operating systems.
(keys#neutral),They are about the same size keys.
,I'm definitely not hard on laptops and guarantee 100% that no liquid has touched this machine in my presence.
,"I waited another month for approval and for them to ""BUILD"" me a new laptop."
,This ain't it.
(portability#conflict),I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
(accessories#negative),"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory."
(warranty#positive),"They offer the best warranty in the business, and don't 3rd party it out like Toshiba."
,Maybe three or four months ago it started blinking all of the sudden.
